,Season,Team ID,TKey,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
106,2015,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802015,2110,10.719,22,400,47,78,78,405,52,620,23,4341,2231,551
107,2015,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2015,2387,11.48,18,417,42,87,87,392,81,615,36,4500,2113,674
108,2015,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242015,2338,11.124,13,380,31,78,78,386,79,555,30,4294,1956,548
109,2015,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82015,1996,11.506,17,315,28,87,87,334,72,519,21,3843,1847,643
110,2015,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2015,1973,10.626,28,393,34,57,36,420,70,622,33,4463,2490,896
111,2015,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322015,1873,10.991,17,332,38,65,65,348,89,565,31,3825,1952,545
112,2015,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522015,1439,11.041,16,265,24,52,47,294,38,443,14,3246,1807,403
113,2015,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692015,2582,12.955,15,321,37,68,50,312,72,525,22,4042,1460,570
114,2015,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292015,2746,11.224,20,427,46,70,70,410,72,617,21,4602,1856,598
115,2015,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142015,2379,12.91,14,308,36,74,74,300,69,494,35,3873,1494,374
