,Player Season,Player ID,Team ID,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
135,2013,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,386bdbf9-9eea-4869-bb9a-274b0bc66e80,57,3.877,0,15,21,4,15,0,1,-4,3,221,38
136,2013,da7cb0cc-543e-47d5-b29a-2ba2b341bd14,386bdbf9-9eea-4869-bb9a-274b0bc66e80,2,-1.0,0,2,-1,0,0,0,0,0,0,-2,0
137,2013,6cb6226e-f08c-4192-95f1-69709ed686c6,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,18,2.0,0,9,14,0,0,0,0,0,0,36,46
138,2013,8dfb370d-460c-4bfc-9d62-888687248783,22052ff7-c065-42ee-bc8f-c4691c50e624,86,5.686,0,3,26,0,10,0,3,-7,0,489,139
139,2013,a824d9ff-12a4-4ed2-812d-404b0b4e52f9,22052ff7-c065-42ee-bc8f-c4691c50e624,2,9.5,0,0,10,0,0,0,0,0,0,19,3
140,2013,b030b668-0f41-484f-8e94-9fc576b8af63,22052ff7-c065-42ee-bc8f-c4691c50e624,3,-1.333,0,0,9,0,0,0,2,-13,0,-4,3
141,2013,bbd0942c-6f77-4f83-a6d0-66ec6548019e,22052ff7-c065-42ee-bc8f-c4691c50e624,4,3.5,0,0,6,0,1,0,0,0,0,14,6
142,2013,bd10efdf-d8e7-4e23-ab1a-1e42fb65131b,22052ff7-c065-42ee-bc8f-c4691c50e624,276,4.62,0,0,45,45,32,0,29,-51,7,1275,748
143,2013,c3bf8d3e-3b2e-4f9e-ad74-c0a684035f17,22052ff7-c065-42ee-bc8f-c4691c50e624,1,18.0,0,0,18,0,0,0,0,0,0,18,1
144,2013,5c529c33-8a1d-413a-b635-880ac86f30c1,7b112545-38e6-483c-a55c-96cf6ee49cb8,16,6.563,0,0,38,0,0,0,4,-19,0,105,42
145,2013,a261fd0a-b096-4db7-bd51-2f13bde485da,7b112545-38e6-483c-a55c-96cf6ee49cb8,13,5.308,0,3,20,7,3,0,1,-3,1,69,26
146,2013,62d4e94c-443f-44ed-9404-c6d6bdd9aa64,c5a59daa-53a7-4de0-851f-fb12be893e9e,9,2.778,0,0,7,2,1,0,1,-4,1,25,17
147,2013,ade43b1a-0601-4672-83b6-d246bc066a19,c5a59daa-53a7-4de0-851f-fb12be893e9e,37,1.865,0,10,14,1,5,0,1,-5,2,69,34
148,2013,0ce48193-e2fa-466e-a986-33f751add206,a20471b4-a8d9-40c7-95ad-90cc30e46932,30,4.0,0,9,18,0,7,0,0,0,0,120,37
