,Player ID,Season,Penalties,Penalty Yards
160,b030b668-0f41-484f-8e94-9fc576b8af63,2013,1,5
161,bbd0942c-6f77-4f83-a6d0-66ec6548019e,2013,3,15
162,bd10efdf-d8e7-4e23-ab1a-1e42fb65131b,2013,1,5
163,5c529c33-8a1d-413a-b635-880ac86f30c1,2013,3,15
164,a261fd0a-b096-4db7-bd51-2f13bde485da,2013,1,5
165,bbca096b-fd15-498a-86c2-feb44737363f,2013,2,15
166,62d4e94c-443f-44ed-9404-c6d6bdd9aa64,2013,1,15
167,ade43b1a-0601-4672-83b6-d246bc066a19,2013,6,52
168,0ce48193-e2fa-466e-a986-33f751add206,2013,1,5
169,3283f152-d373-43b3-b88f-f6f261c48e81,2013,1,5
170,1059e9dc-97df-4643-9116-883a0573d8b1,2013,1,10
171,250199f2-1387-4b55-b96f-17fedea6db7f,2013,2,15
172,cccc9f16-9508-434f-b7a4-9a29cb0cacf9,2013,2,20
173,da85107c-365c-4d58-90ab-479d97d798b4,2013,1,10
174,6195ddc9-ab2b-469a-b824-a890736d6db7,2013,1,5
175,e1235f1e-26ce-438c-8168-3b1ded4ab893,2013,6,42
176,0b3217b9-ba37-4222-95cb-a7a222441e8b,2013,1,10
177,349f647e-bfc3-4d84-af89-b33f8a08e26e,2013,1,10
178,7e648a0b-fdc8-4661-a587-5826f2cac11b,2013,2,19
179,214e55e4-a089-412d-9598-a16495df0d25,2013,2,10
180,3aef6950-1c19-4454-a3d0-0afe9634ea9f,2013,2,10
181,5707d2b0-ea9e-4a5e-8289-9d52197301d9,2013,3,14
182,587d0a98-7ec5-45a5-adba-8af26e8f256b,2013,2,15
183,4734f8dc-2ca4-4437-88f2-c8b8974abefc,2013,1,15
184,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,2013,1,10
185,bb5957e6-ce7d-47ab-8036-22191ffc1c44,2013,11,61
186,d81844de-54c3-42ee-9850-072dc4131b6f,2013,1,5
187,f336567d-44a9-4245-8452-1dd485fd70fb,2013,2,10
188,fd85786d-3900-4dc0-9b30-334ee30413ed,2013,3,20
189,0a95e792-6455-4927-9539-f95fa7f41fbb,2013,2,10
190,16cc9ade-f9ad-4d32-b5b9-d7568ee80f58,2013,2,15
191,8f24a248-b328-43ec-8677-67600e42a8f7,2013,1,15
192,fe767946-236d-4c04-9c59-5e3edd51acfe,2013,4,45
193,471dbe81-54c4-4b52-8bd1-4933c9800e1f,2013,3,25
194,51952c7b-11c5-4229-baf9-08d4694cc2ad,2013,3,14
195,9691f874-be36-4529-a7eb-dde22ee4a848,2013,1,10
196,b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5,2013,1,10
197,16c67c97-ffd9-4f92-917d-ad6124ce1f6e,2013,1,5
198,409d4cac-ee90-4470-9710-ebe671678339,2013,10,85
199,7e5b8212-df93-4069-b3f0-be4b5cb47389,2013,2,15
200,82bce0be-9a87-4b6d-a85b-623bf8d1674e,2013,1,5
201,c88d9352-b835-45ed-a909-1cfec09a58bc,2013,5,50
202,e1b29179-074b-4c91-8797-763b76ac618a,2013,1,5
203,618bedee-9259-4536-b0ff-fec98d2a20de,2014,1,10
204,7d80b51f-1462-442e-aa7f-8c320a62deed,2014,6,40
205,8fc65820-f565-44e2-8635-3e1cdf165bf6,2014,2,13
206,cf23126f-055b-4617-819b-bb4bcb84541a,2014,4,26
207,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,2014,2,15
208,5812204c-6dae-4450-8011-99e0f72864ac,2014,2,15
209,90908a56-901b-466d-8689-943075da96fe,2014,1,10
210,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,2014,1,5
211,9c04a540-cb7c-41dc-8e7c-50b7af29a3a2,2014,2,15
212,b37b5be9-4771-4368-988f-fb936f4fc0ad,2014,2,15
213,72f5a27a-544f-468a-b10b-89a1fc5d0e9f,2014,3,25
214,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,2014,2,11
215,eeb9e3f4-e378-44ca-94b6-a724011ad710,2014,1,10
216,2142a164-48ad-47d6-bb27-0bc58c6b2e62,2014,3,35
217,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,2014,1,5
218,41c44740-d0f6-44ab-8347-3b5d515e5ecf,2014,2,21
219,5707d2b0-ea9e-4a5e-8289-9d52197301d9,2014,7,50
