,Player Season,Player ID,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
96,2013,9d04accc-a404-406f-b93c-0878410e55a6,4,2.5,0,0,4,1,1,0,0,0,1,10,5
97,2013,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,55,4.927,0,0,46,2,16,0,4,-9,3,271,99
98,2013,f5d20030-d934-45e3-8282-e34c6c83ad84,153,5.046,0,0,47,47,24,0,10,-23,7,772,417
99,2013,1726a359-9444-4761-a1f2-cb35ee6fa60e,4,4.0,0,0,9,0,0,0,0,0,0,16,9
100,2013,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,8,8.125,0,0,34,0,0,0,2,-4,0,65,25
101,2013,24cf6148-f0af-4103-a215-e06956764953,170,4.088,0,0,35,35,21,0,17,-35,5,695,384
102,2013,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,7,2.857,0,2,10,0,0,0,0,0,0,20,21
103,2013,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,61,3.0,0,20,12,8,6,0,0,0,2,183,57
104,2013,01291a8d-d97c-4d88-b497-b5ad4b72f626,12,3.667,0,2,11,0,1,0,0,0,0,44,0
105,2013,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,1,45.0,0,0,45,0,0,0,0,0,0,45,20
106,2013,af4ba620-2f00-4b00-9111-7897f2b1cde8,6,2.667,0,3,11,0,0,0,1,-2,0,16,13
107,2013,b228c353-bb1f-4ba8-aa6d-d18ecf297259,5,17.6,0,0,34,0,0,0,0,0,0,88,49
108,2013,64797df2-efd3-4b27-86ee-1d48f7edb09f,27,4.852,0,8,22,1,5,0,0,0,1,131,40
109,2013,7f3ef024-eb34-46af-8b9e-544cdf09378f,8,8.0,0,0,25,0,0,0,2,-13,0,64,9
110,2013,16e33176-b73e-49b7-b0aa-c405b47a706e,7,0.571,0,0,10,0,0,0,2,-16,0,4,7
111,2013,ea357add-1a41-4a8b-8f34-bbfade7f4d98,27,3.667,0,10,19,13,4,0,0,0,1,99,38
112,2013,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,1,25.0,0,0,25,0,0,0,0,0,0,25,3
113,2013,b8426cea-f8b9-4061-8d56-e70d1230103e,2,3.0,0,0,3,0,0,0,0,0,0,6,2
114,2013,c456e060-d4d8-46cb-acf4-296edfb4f7bd,3,8.667,0,0,30,0,0,0,1,-11,0,26,4
115,2013,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,63,5.984,0,15,29,19,10,0,0,0,4,377,159
116,2013,de816e24-8442-49a4-99cd-dde7e7c05863,9,3.556,0,0,7,0,1,0,1,-1,0,32,7
117,2013,f55053e4-4bfd-495d-981a-d62e3662f01b,27,2.852,0,2,14,0,4,0,2,-5,0,77,46
118,2013,1b3d350a-478b-4542-a430-d12cc96adc22,14,5.143,0,1,22,5,3,0,1,-3,1,72,26
119,2013,1f09583f-dcc1-43e8-a7fc-f063d2c96508,5,4.8,0,0,7,0,0,0,0,0,0,24,4
