,Season,Team ID,TKey,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
84,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292014,67,4.755,40.791,45.716,0,318.59000000000003,27,66,2733,250,4,3063
85,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142014,74,4.473,37.514,44.944,2,322.09,26,72,2701,435,5,3236
86,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732014,58,4.583,42.948,46.379,0,265.84,19,63,2491,99,5,2690
87,2014,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92014,73,4.487,40.181,46.792,1,323.05,28,71,2893,336,7,3369
88,2014,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2014,92,4.508,37.9,42.389,2,405.69,35,67,3411,284,6,3815
89,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82014,62,4.527,38.902,44.066,1,276.15,28,66,2373,195,6,2688
90,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242015,82,4.333,41.268,46.305,0,355.311,22,65,3384,353,3,3797
91,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062015,92,4.167,39.717,47.609,0,383.32,30,70,3654,526,10,4380
92,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32015,80,4.398,36.684,43.646,1,347.40900000000005,27,68,2898,470,4,3448
93,2015,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2015,74,4.309,40.425,46.0,1,314.54600000000005,31,67,2951,347,3,3358
94,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232015,69,4.396,41.074,45.824,1,298.936,22,67,2793,203,6,3116
95,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2015,70,4.418,40.129,46.714,0,309.27200000000005,25,67,2809,381,4,3270
