,Season,Team ID,TKey,Pass Air Yds,Pass Attempts,Pass Avg Pocket Time,Pass Poor Throws,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
61,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062014,2190,595,0,0,6.267,188,66.218,394,0,29,4066,0,12,0,50,32,3729,0.0,92,89,337,46,0,15,27,3729
62,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32014,1700,498,0,0,5.916,175,57.631,287,0,31,3206,0,15,0,74,74,2946,0.0,75,68,260,47,0,31,16,2946
63,2014,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2014,2310,609,0,0,6.767,146,64.368,392,0,32,4291,0,9,0,69,69,4121,0.0,97,75,170,26,0,23,34,4121
64,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232014,1739,503,0,0,6.801,152,64.215,323,0,25,3551,0,17,0,81,81,3421,0.0,84,52,130,23,0,20,20,3421
65,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2014,2134,502,0,0,6.902,171,54.582,274,0,22,3678,0,16,0,81,81,3465,0.0,72,42,213,31,0,17,12,3465
66,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2014,2235,554,0,0,6.894,214,62.094,344,0,37,3986,0,12,0,80,80,3819,0.0,91,70,167,19,0,21,27,3819
67,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982014,2715,612,0,0,7.884,153,67.157,411,0,29,4997,0,10,0,94,94,4825,0.0,103,92,172,33,0,5,33,4825
68,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92014,2671,661,0,0,7.404,224,62.027,410,0,40,5062,0,16,0,80,79,4894,0.0,96,89,168,29,0,22,42,4894
69,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2014,1585,557,0,0,5.388,209,58.348,325,0,36,3451,0,18,0,63,63,3001,0.0,72,43,450,71,0,10,15,3001
70,2014,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72014,1917,485,0,0,6.911,155,60.825,295,0,27,3460,0,13,0,76,76,3352,0.0,86,67,108,26,0,6,22,3352
71,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152014,2067,513,0,0,6.651,161,58.285,299,0,23,3738,0,16,0,80,80,3412,0.0,81,56,326,50,0,15,20,3412
72,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02014,2867,607,0,0,7.679,155,65.733,399,0,31,4779,0,15,0,86,86,4661,0.0,101,106,118,17,0,7,40,4661
73,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22014,1534,493,0,0,6.454,170,64.909,320,0,37,3428,0,6,0,70,70,3182,0.0,92,66,246,49,0,23,18,3182
74,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12014,1912,629,0,0,5.494,217,58.029,365,0,32,3456,0,16,0,77,77,3275,0.0,74,44,181,28,0,27,22,3275
75,2014,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602014,2221,476,0,0,7.95,156,68.908,328,0,12,4008,0,11,0,68,68,3784,0.0,110,56,224,30,0,13,37,3784
76,2014,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802014,2477,621,0,0,7.377,165,61.836,384,0,25,4581,0,21,0,72,68,4356,0.0,84,77,225,32,0,23,27,4356
77,2014,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2014,2489,607,0,0,7.038,196,63.097,383,0,31,4470,0,14,0,80,80,4272,0.0,92,98,198,30,0,28,30,4272
78,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242014,1918,547,0,0,7.399,194,66.545,364,0,29,4461,0,18,0,81,81,4047,0.0,88,63,414,58,0,17,18,4047
79,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82014,1874,609,0,0,6.227,161,65.025,396,0,30,4035,0,19,0,74,45,3792,0.0,87,78,243,41,0,17,30,3792
80,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2014,2048,604,0,0,6.672,158,60.43,365,0,36,4284,0,12,0,73,73,4030,0.0,85,76,254,45,0,28,22,4030
