,Season,Team ID,TKey,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
81,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322014,36,14,104,4,0,2,1421,0,41,6407
82,2014,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522014,13,13,77,1,0,1,579,0,48,4842
83,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692014,22,9,69,1,0,0,868,0,31,4429
84,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292014,21,15,83,2,0,0,820,0,46,5172
85,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142014,15,7,79,0,0,0,584,0,61,5196
86,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732014,33,14,81,2,0,0,1029,0,40,5258
87,2014,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92014,23,12,73,1,0,0,907,0,32,4721
88,2014,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2014,35,10,76,1,0,0,967,0,38,5054
89,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82014,35,18,89,0,0,0,1035,0,46,5807
90,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242015,25,19,84,2,0,1,688,5,42,5235
91,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062015,13,5,72,4,1,1,508,2,44,4391
92,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32015,45,19,86,2,1,1,1168,2,34,5545
93,2015,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2015,20,15,101,3,2,1,526,4,69,6284
94,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232015,34,20,89,1,0,0,1041,1,42,5786
95,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2015,21,13,70,0,0,1,894,5,27,4420
96,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2015,7,5,74,1,0,0,229,0,63,4753
97,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982015,32,15,94,1,0,1,1200,7,38,5931
98,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92015,5,3,77,3,0,0,156,1,67,4832
99,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2015,17,12,84,5,0,4,553,1,55,5208
100,2015,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72015,31,11,76,2,0,0,977,3,33,4881
101,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152015,17,2,66,1,0,1,599,1,43,4272
102,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02015,12,6,82,3,0,0,508,3,55,5109
103,2015,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22015,37,19,90,2,0,1,1137,3,40,5721
104,2015,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12015,17,14,81,2,0,1,795,3,44,5064
