Key,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards
5c2a0c83-e18a-43dd-bd65-704771157e42 2013 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,0,2,1,0,0,0,0,1,0,0
6195ddc9-ab2b-469a-b824-a890736d6db7 2013 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,1,0,0,0,0,0,0,0,0,0
e1235f1e-26ce-438c-8168-3b1ded4ab893 2013 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,0,7,4,0,0,0,0,3,0,-16
0b3217b9-ba37-4222-95cb-a7a222441e8b 2013 e6aa13a4-0055-48a9-bc41-be28dc106929,0,0,2,1,0,0,0,1,1,0,18
7e648a0b-fdc8-4661-a587-5826f2cac11b 2013 e6aa13a4-0055-48a9-bc41-be28dc106929,0,0,5,4,0,0,0,0,1,0,-2
91a95850-9514-49d5-b2b0-f8e21156daa0 2013 e6aa13a4-0055-48a9-bc41-be28dc106929,0,0,1,1,0,0,0,0,0,0,0
214e55e4-a089-412d-9598-a16495df0d25 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,0,3,1,0,0,0,0,1,0,-8
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,0,0,0,0,0,0,0,1,0,0
5707d2b0-ea9e-4a5e-8289-9d52197301d9 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,0,1,0,0,0,0,0,1,0,0
5ec072b3-2837-4cf1-bb4f-ecd873949626 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,0,1,0,0,0,0,0,0,0,0
96a1fc85-5af7-49fa-a5ac-ddc06c205ced 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,0,1,0,0,0,0,0,0,0,0
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2013 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,2,2,0,0,0,0,0,0,0
bb5957e6-ce7d-47ab-8036-22191ffc1c44 2013 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,6,2,0,0,0,0,0,0,0
fd85786d-3900-4dc0-9b30-334ee30413ed 2013 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,0,0,0,0,1,0,-2
0a95e792-6455-4927-9539-f95fa7f41fbb 2013 f0e724b0-4cbf-495a-be47-013907608da9,0,0,1,1,0,0,0,0,0,0,0
16cc9ade-f9ad-4d32-b5b9-d7568ee80f58 2013 f0e724b0-4cbf-495a-be47-013907608da9,0,0,1,0,0,0,0,1,0,0,0
6a2b129d-a9e5-4131-b491-82269b323f77 2013 f0e724b0-4cbf-495a-be47-013907608da9,0,0,3,3,0,0,0,0,0,0,0
