Key,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rec Attempts,Converse Rec Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
409d4cac-ee90-4470-9710-ebe671678339 2014 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,1,0,0,0,0,0,0
7e5b8212-df93-4069-b3f0-be4b5cb47389 2014 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,0,0,1,0,0,0,0
166292fc-629e-4c7b-b7bf-f572ca9eeb43 2015 768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,0,0,0,0,1,1,0
7f3ef024-eb34-46af-8b9e-544cdf09378f 2015 768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,2,0,0,0,1,1,0
06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4 2015 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,0,0,1,1,0,0,0
5812204c-6dae-4450-8011-99e0f72864ac 2015 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,2,1,0,0,0,0,0
bb78a66a-a8ec-4294-8858-c7e5a1d15106 2015 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,0,0,0,0,1,1,0
e9ee9209-dd8f-4e4a-be3c-407756a2749c 2015 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,0,0,1,0,0,0,0
59fc3367-5514-4616-a93c-06e4365b2293 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,0,0,0,0,1,1,0
4b3677f5-712e-43f2-b7bb-51ac6f291b86 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,0,0,1,1,0,0,0
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,0,0,2,0,0,0,0
a261fd0a-b096-4db7-bd51-2f13bde485da 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,4,2,0,0,0,0,0
1f09583f-dcc1-43e8-a7fc-f063d2c96508 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,0,0,0,0,1,0,0
3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,0,0,1,0,0,0,0
64797df2-efd3-4b27-86ee-1d48f7edb09f 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,3,1,0,0,0,0,0
9480dd9f-151f-4e6d-b5a3-35f07bda4cac 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,0,0,1,1,0,0,0
16e33176-b73e-49b7-b0aa-c405b47a706e 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,0,0,4,2,0,0,0
a37a5bfd-b48c-4d8b-817a-d8ce7ca3592d 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,0,0,1,1,0,0,0
c456e060-d4d8-46cb-acf4-296edfb4f7bd 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,0,0,1,0,0,0,0
d4dd3d0b-5023-415d-ad15-94f294c561b1 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,1,0,0,0,0,0,0
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,10,8,0,0,0,0,0
f9036897-99d5-4d9a-8965-0c7e0f9e43bd 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,0,0,1,1,0,0,0
e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,0,2,1,0,0,0,0,0
10952a8e-9da1-447b-a016-c699db00c5f0 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,0,0,1,0,0,0,0
6723249c-5fb5-4b0a-9373-cb59cdc99ec8 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,5,1,0,0,0,0,0
73d6cb8a-3d72-4a6a-b3c9-fe61dfd1bd41 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,0,0,1,0,0,0,0
5c48ade7-4b9a-4757-9643-87a6e3839e2b 2015 82d2d380-3834-4938-835f-aec541e5ece7,0,0,0,0,1,1,0,0,0
af4ba620-2f00-4b00-9111-7897f2b1cde8 2015 82d2d380-3834-4938-835f-aec541e5ece7,0,0,1,0,0,0,0,0,0
0f062def-77f5-4362-86cb-4bdb63a59eba 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,0,0,0,0,0,0,1,0,0
7c16c04c-04de-41f3-ac16-ad6a9435e3f7 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,0,0,3,3,0,0,0,0,0
ccce5e8e-52ca-4f0f-a40f-fe5e7227d156 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,0,0,0,0,1,1,0,0,0
0847010c-9a77-4f0b-9d63-c8b4b224d263 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,0,0,0,0,0,0,1,0,0
2fda010a-8c62-4c07-b601-4ba03f57e6af 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0,0,3,2,0,0,0,0,0
c3859e06-5f23-4302-a71b-04820a899d5f 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0,0,0,0,2,2,0,0,0
e033ce15-9fc5-430b-90e2-90dfe52b21c1 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0,0,0,0,1,0,0,0,0
27e60657-f73d-4125-906d-aa72cc3477dc 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,1,1,0,0,0
2e56cca7-b898-4aac-bbc5-b5bda9163be1 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,1,0,0,0,0
9f026fc0-4449-4dc5-a226-2e2830619381 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,2,1,0,0,0,0,0
d2cad5f8-b35f-4cf4-9567-57c387ba6225 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,1,0,0,0,0
8263e101-aa33-435f-bf0f-388e1c4eeb59 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,0,1,1,0,0,0,0,0
8002dd5e-a75a-4d72-9a8c-0f4dbc80d459 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,2,2,0,0,0
a824d9ff-12a4-4ed2-812d-404b0b4e52f9 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,1,0,0,0,0
bbd0942c-6f77-4f83-a6d0-66ec6548019e 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,3,2,0,0,0,0,0
6512b90e-d6b3-4719-bb0c-a75f97673f37 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,0,0,0,0,0,0,2,1,0
ade43b1a-0601-4672-83b6-d246bc066a19 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,0,0,1,0,0,0,0,0,0
c88d9352-b835-45ed-a909-1cfec09a58bc 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,0,0,0,0,1,0,0,0,0
0ce48193-e2fa-466e-a986-33f751add206 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,5,4,0,0,1,0,0
e00b3426-238b-4bdb-85c3-bbf08b7469e3 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,0,0,1,1,0,0,0
e7d6ae25-bf15-4660-8b37-c37716551de3 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,0,0,2,1,0,0,0
d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7 2015 33405046-04ee-4058-a950-d606f8c30852,0,0,0,0,0,0,1,1,0
6195ddc9-ab2b-469a-b824-a890736d6db7 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,0,0,0,1,0,0,0,0
