Key,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
ba2e7ff8-ed39-4fd1-85e3-d263a946a212 2014 82d2d380-3834-4938-835f-aec541e5ece7,6.684,10,52.632,10,0,2,127,0,1,0,35,0,122,0.0,51.9,0,5,1,0,0,0,127
0847010c-9a77-4f0b-9d63-c8b4b224d263 2014 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,5.2,2,40.0,4,0,3,52,0,0,0,38,1,52,0.0,90.4,1,0,0,0,1,1,52
0045a36c-f464-49e0-a25a-9210edc94bc1 2014 6680d28d-d4d2-49f6-aace-5292d3ec02c2,5.607,6,57.143,16,0,4,157,0,0,0,30,0,140,0.0,73.1,8,17,4,0,1,0,157
2fda010a-8c62-4c07-b601-4ba03f57e6af 2014 6680d28d-d4d2-49f6-aace-5292d3ec02c2,7.037000000000001,164,65.30199999999999,303,0,33,3265,0,6,0,70,70,3036,0.0,93.4,57,229,45,0,22,18,3265
1f09583f-dcc1-43e8-a7fc-f063d2c96508 2014 1c1cec48-6352-4556-b789-35304c1a6ae1,5.7,6,50.0,5,0,0,57,0,2,0,16,0,33,0.0,27.9,0,24,3,0,1,0,57
9f026fc0-4449-4dc5-a226-2e2830619381 2014 1c1cec48-6352-4556-b789-35304c1a6ae1,5.459,203,58.097,348,0,31,3270,0,12,0,77,77,3121,0.0,76.6,44,149,24,0,25,21,3270
01291a8d-d97c-4d88-b497-b5ad4b72f626 2014 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,7.39,15,58.537,24,0,2,303,0,2,0,43,43,294,0.0,85.7,6,9,1,0,1,3,303
c8232b55-6617-4dd9-a7cf-cf14cd9a29ab 2014 386bdbf9-9eea-4869-bb9a-274b0bc66e80,6.955,69,59.806999999999995,186,0,9,2163,0,10,0,68,68,2089,0.0,81.4,35,74,9,0,18,13,2163
da7cb0cc-543e-47d5-b29a-2ba2b341bd14 2014 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,0,0,0
e6c40f79-1bbd-4f62-9391-7f535f110c0d 2014 386bdbf9-9eea-4869-bb9a-274b0bc66e80,7.825,95,64.078,198,0,16,2418,0,11,0,72,44,2267,0.0,88.4,42,151,23,0,5,14,2418
354dec38-b88b-4ba0-8974-859123f27c45 2014 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,0,0,0
6cb6226e-f08c-4192-95f1-69709ed686c6 2014 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,7.337999999999999,194,63.062,379,0,30,4410,0,14,0,80,80,4223,0.0,92.1,98,187,28,0,28,30,4410
3699dfd9-d437-43f7-b674-adbb31e7e64b 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,8.258,61,71.094,91,0,2,1057,0,3,0,70,70,940,0.0,96.4,10,117,17,0,1,4,1057
8dfb370d-460c-4bfc-9d62-888687248783 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,7.916,68,68.692,147,0,10,1694,0,6,0,69,69,1467,0.0,86.9,31,227,33,0,11,4,1694
a824d9ff-12a4-4ed2-812d-404b0b4e52f9 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,0,0,0
bbd0942c-6f77-4f83-a6d0-66ec6548019e 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,8.382,65,61.765,126,0,17,1710,0,9,0,81,81,1640,0.0,86.4,22,70,8,0,5,10,1710
ade43b1a-0601-4672-83b6-d246bc066a19 2014 c5a59daa-53a7-4de0-851f-fb12be893e9e,7.071000000000001,158,60.299,363,0,36,4257,0,12,0,73,73,4003,0.0,85.7,76,254,45,0,28,22,4257
0ce48193-e2fa-466e-a986-33f751add206 2014 a20471b4-a8d9-40c7-95ad-90cc30e46932,8.425,116,65.577,341,0,32,4381,0,5,0,80,80,4207,0.0,112.2,96,174,28,0,20,38,4381
8263e101-aa33-435f-bf0f-388e1c4eeb59 2014 33405046-04ee-4058-a950-d606f8c30852,5.986000000000001,29,57.746,41,0,5,425,0,4,0,28,25,386,0.0,65.8,7,39,6,0,1,3,425
d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7 2014 33405046-04ee-4058-a950-d606f8c30852,7.261,131,64.428,259,0,21,2919,0,12,0,87,87,2670,0.0,85.2,25,249,39,0,21,14,2919
