Key,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,9.519,25,65,65,27,1,257
01d8aee3-e1c4-4988-970a-8c0c2d08bd83 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,8.16,9,82,82,25,1,204
35823109-daf1-4825-92b8-564271398ecb 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,2.5,0,8,0,8,0,20
46b16198-116f-4913-85db-2bc21462bd66 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,-4.0,1,-4,0,1,0,-4
0ee05dd7-e99e-43c8-ba2b-0922be1d8be1 2017 1c1cec48-6352-4556-b789-35304c1a6ae1,0.0,0,0,0,1,0,0
c78c299b-7c73-40fc-9155-2ede7f9849c7 2017 1c1cec48-6352-4556-b789-35304c1a6ae1,5.962000000000001,13,19,0,26,0,155
6259f62d-e16f-4369-a3be-ca02f79f3026 2017 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,8.828,10,83,83,29,1,256
7092bb09-a161-4ab9-8d19-fdcf1a91bb3d 2017 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,9.5,5,15,0,2,0,19
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2017 386bdbf9-9eea-4869-bb9a-274b0bc66e80,10.0,5,10,0,1,0,10
5ec072b3-2837-4cf1-bb4f-ecd873949626 2017 386bdbf9-9eea-4869-bb9a-274b0bc66e80,8.889,15,76,0,27,0,240
a735765c-3ca8-4557-b06e-a30fd415982c 2017 386bdbf9-9eea-4869-bb9a-274b0bc66e80,9.0,0,9,0,1,0,9
5ed2cea8-e0c6-482c-9ee1-548c06612226 2017 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,6.857,9,17,0,7,0,48
77c7d2cf-2cbf-4901-8a42-863720980754 2017 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,6.332999999999999,3,13,0,3,0,19
8002dd5e-a75a-4d72-9a8c-0f4dbc80d459 2017 22052ff7-c065-42ee-bc8f-c4691c50e624,6.332999999999999,21,29,0,27,0,171
c1ca7e3d-f072-41c7-8017-53401dbdd4d4 2017 22052ff7-c065-42ee-bc8f-c4691c50e624,0.0,1,0,0,0,0,0
a8342d20-9901-49a6-bc45-79f192418188 2017 7b112545-38e6-483c-a55c-96cf6ee49cb8,9.379,15,61,61,29,1,272
40958157-617f-40b4-91e5-9895f66da29c 2017 c5a59daa-53a7-4de0-851f-fb12be893e9e,7.832999999999999,4,17,0,6,0,47
c88d9352-b835-45ed-a909-1cfec09a58bc 2017 c5a59daa-53a7-4de0-851f-fb12be893e9e,11.5,2,13,0,2,0,23
bc175901-4a1f-4132-abb4-e49cc7d35e12 2017 a20471b4-a8d9-40c7-95ad-90cc30e46932,12.042,22,65,0,24,0,289
cadecca8-a102-43a5-9a0c-f7cef0b9a579 2017 a20471b4-a8d9-40c7-95ad-90cc30e46932,0.0,0,0,0,1,0,0
16cd3b59-18a2-40a0-9236-e222bed17044 2017 33405046-04ee-4058-a950-d606f8c30852,0.0,2,0,0,0,0,0
d6d41a89-a8af-48b9-bf75-561de99a1d87 2017 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,8.167,7,19,0,6,0,49
9691f874-be36-4529-a7eb-dde22ee4a848 2017 e6aa13a4-0055-48a9-bc41-be28dc106929,7.444,21,27,0,27,0,201
48d7bc31-808f-423c-afc8-45c2c5dfa45f 2017 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,9.0,0,9,0,1,0,9
c5f35a06-791b-43e1-befc-df0c54b3b486 2017 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,8.647,8,60,60,17,1,147
