Key,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,82,4.05,37.975,43.37,1,328.086,31,60,3076,297,7,3513
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,88,4.346,38.851,44.644,1,378.059,35,65,3380,384,6,3884
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,82,4.156000000000001,40.793,45.89,0,340.82800000000003,23,67,3345,318,5,3763
97354895-8c77-4fd4-a860-32e62ea7382a 2018,64,4.131,39.531,45.078,0,264.374,21,66,2530,255,5,2885
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,72,4.166,39.986,43.93,1,295.765,29,69,2839,220,3,3119
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,85,4.248,39.157,45.386,2,352.564,32,79,3250,397,6,3767
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,61,4.282,40.45,47.367,1,256.918,27,65,2427,315,5,2842
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,64,4.399,38.359,43.438,0,281.52899999999994,28,69,2455,245,4,2780
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,57,4.322,42.736999999999995,46.123000000000005,0,246.36900000000003,24,63,2436,93,5,2629
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,86,4.374,41.256,45.023,0,376.19,37,72,3548,184,7,3872
82d2d380-3834-4938-835f-aec541e5ece7 2018,74,4.15,39.149,43.743,0,307.10100000000006,36,61,2897,240,5,3237
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,75,4.218,42.257,47.068000000000005,1,312.113,39,62,3127,296,3,3483
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,85,4.189,38.329,44.541000000000004,0,356.076,29,66,3258,368,8,3786
