Key,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
f0e724b0-4cbf-495a-be47-013907608da9 2014,470,4.63,0,15,90,90,64,0,49,-97,10,2176,1200
de760528-1dc0-416a-a978-b510d20692ff 2014,397,3.295,0,15,22,5,38,0,43,-117,6,1308,726
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,525,5.261,0,19,79,79,81,0,41,-86,20,2762,1434
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,509,4.7780000000000005,24,17,60,60,64,51,58,-133,19,2432,1204
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,344,4.349,12,10,85,85,43,6,34,-74,11,1496,964
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,448,4.17,23,13,58,31,61,35,51,-115,11,1868,1118
97354895-8c77-4fd4-a860-32e62ea7382a 2015,383,3.6660000000000004,18,19,38,38,65,8,30,-70,14,1404,887
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,467,3.865,12,17,38,38,83,34,35,-71,18,1805,987
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,380,4.024,13,6,54,11,54,41,47,-131,5,1529,855
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,383,3.859,14,2,44,14,48,9,42,-90,8,1478,770
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,388,4.4430000000000005,13,20,55,11,69,16,38,-82,16,1724,997
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,396,3.6310000000000002,9,19,37,37,60,34,37,-84,6,1438,839
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,354,4.1610000000000005,16,6,45,28,52,25,29,-68,5,1473,727
82d2d380-3834-4938-835f-aec541e5ece7 2015,472,3.667,9,21,41,20,55,11,41,-85,7,1731,945
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,371,4.003,7,5,87,87,43,16,46,-85,10,1485,839
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,411,4.18,13,10,72,72,51,12,40,-81,13,1718,1058
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,436,4.688,10,14,52,38,53,54,38,-85,19,2044,1050
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,370,3.938,8,12,54,22,47,17,31,-72,7,1457,860
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,408,4.632,15,8,50,37,39,19,39,-95,8,1890,1007
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,442,3.943,12,12,63,63,56,12,48,-146,15,1743,940
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,403,3.9930000000000003,16,9,39,38,47,8,38,-79,5,1609,979
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,429,3.65,10,14,48,39,61,4,53,-93,9,1566,926
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,468,3.9619999999999997,4,7,27,7,59,17,31,-60,13,1854,1040
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,354,3.7710000000000004,10,14,36,24,43,24,38,-76,7,1335,754
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,436,4.243,18,14,65,65,43,43,44,-90,8,1850,967
33405046-04ee-4058-a950-d606f8c30852 2015,474,4.665,30,13,80,80,71,24,57,-129,18,2211,1093
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,455,4.752,32,11,84,14,65,34,53,-119,12,2162,1304
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,420,3.824,12,14,46,25,76,13,48,-126,13,1606,827
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,526,4.338,10,18,47,16,105,28,44,-126,19,2282,1258
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,397,3.7560000000000002,9,17,70,11,72,3,39,-90,16,1491,930
f0e724b0-4cbf-495a-be47-013907608da9 2015,390,3.9589999999999996,19,11,47,44,46,46,45,-101,7,1544,884
de760528-1dc0-416a-a978-b510d20692ff 2015,452,4.2410000000000005,19,30,63,63,61,7,47,-96,16,1917,1092
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,500,4.5360000000000005,22,23,69,69,67,57,42,-98,10,2268,1282
