,Player ID,Season,Rec Air Yards,Team ID,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
108,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,2013,13,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,13.0,0,0,0,13,0,1,0,1,0,13,0,0
109,170b4c5f-a345-4899-8d81-e8982b0f3d65,2013,5,97354895-8c77-4fd4-a860-32e62ea7382a,6.2,0,0,0,24,0,10,1,12,0,62,57,0
110,2142a164-48ad-47d6-bb27-0bc58c6b2e62,2013,398,97354895-8c77-4fd4-a860-32e62ea7382a,15.179,0,0,2,50,23,39,8,66,4,592,194,0
111,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,2013,559,97354895-8c77-4fd4-a860-32e62ea7382a,10.057,0,0,13,44,24,105,23,151,6,1056,497,0
112,973bfe3c-6d0d-4130-a79c-f860650b1da6,2013,381,97354895-8c77-4fd4-a860-32e62ea7382a,11.722,0,0,8,57,34,54,6,83,2,633,252,0
113,9d04accc-a404-406f-b93c-0878410e55a6,2013,30,97354895-8c77-4fd4-a860-32e62ea7382a,15.5,0,0,0,31,0,4,0,4,0,62,32,0
114,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,2013,-7,97354895-8c77-4fd4-a860-32e62ea7382a,7.238,0,0,4,18,0,21,0,29,0,152,159,0
115,f5d20030-d934-45e3-8282-e34c6c83ad84,2013,-3,97354895-8c77-4fd4-a860-32e62ea7382a,19.0,0,0,0,32,0,2,0,5,0,38,41,0
116,14ecf9dd-3a77-4847-8e62-407cd1182f1c,2013,218,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,11.41,0,0,5,61,32,39,7,59,2,445,227,0
117,1726a359-9444-4761-a1f2-cb35ee6fa60e,2013,201,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.681,0,0,6,32,7,47,11,78,2,455,254,0
118,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,2013,488,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,13.961,0,0,3,45,29,51,14,80,10,712,224,0
119,24cf6148-f0af-4103-a215-e06956764953,2013,-14,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.179,0,0,4,41,27,56,6,70,3,514,528,0
120,3289f9ce-e1d1-40ed-9d3f-242a1712c586,2013,6,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,6.0,0,0,0,6,0,1,0,2,0,6,0,0
121,b44773b9-af17-4d6c-a453-132e20849712,2013,193,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.957,0,0,3,30,25,46,4,67,4,458,265,0
122,b6325c85-c313-4cfb-a299-9884d5e9e389,2013,1,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,8.0,0,0,0,8,0,1,0,2,0,8,7,0
123,c9701373-23f6-4058-9189-8d9c085f3c49,2013,1033,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,14.551,0,0,11,82,82,98,21,178,11,1426,393,0
